No,Năm,Tháng,Khách Hàng C2,Khách hàng C1,Tỉnh,Sản phẩm,Số lượng,Doanh thu,Nhóm sản phẩm
1,2019,Feb,LAN-001,LAN032,Long An,LS,3.0,19668201.6,Fungicide
2,2019,Feb,LAN-001,LAN032,Long An,JO,1.0,3318983.168,Fungicide
3,2019,Feb,LAN-007,LAN032,Long An,MTL,20.0,164642081.28,Fungicide
4,2019,Feb,LAN-007,LAN032,Long An,JO,1.0,3318983.168,Fungicide
5,2019,Feb,LAN-007,LAN032,Long An,GO,1.0,1642946.304,Insecticide
6,2019,Mar,QTI-001,QTI001,Quảng Trị,FI,7.0,79421480.32,Herbicide & Molluscicide
7,2019,Mar,QTI-001,QTI001,Quảng Trị,EL,8.0,60952811.52,Herbicide & Molluscicide
8,2019,Mar,QTI-001,QTI001,Quảng Trị,FAX,11.0,30329980.032,Herbicide & Molluscicide
9,2019,Mar,QTI-001,QTI001,Quảng Trị,FY,7.0,67220163.584,Fungicide
10,2019,Mar,QTI-001,QTI001,Quảng Trị,FY,2.0,16998620.672,Fungicide
11,2018,Dec,LDG-256,LDG014,Lâm Đồng,MTL,9.0,74088936.576,Fungicide
12,2018,Dec,LDG-256,LDG014,Lâm Đồng,HO,5.0,35957029.76,Fungicide
13,2018,Dec,LDG-256,LDG014,Lâm Đồng,GO,3.0,4928838.912,Insecticide
14,2018,Dec,LDG-256,LDG014,Lâm Đồng,MPT,10.0,45276158.72,Insecticide
15,2018,Dec,LDG-001,LDG018,Lâm Đồng,JN,4.0,19738519.04,Insecticide
16,2018,Dec,LDG-001,LDG018,Lâm Đồng,PAN,5.0,8053415.04,Herbicide & Molluscicide
17,2018,Dec,LDG-001,LDG018,Lâm Đồng,DA,3.0,13208097.024,Insecticide
18,2018,Dec,LDG-001,LDG018,Lâm Đồng,RA,3.0,25435886.208,Fungicide
19,2018,Dec,LDG-001,LDG018,Lâm Đồng,MTL,4.0,32928416.256,Fungicide
20,2018,Dec,LDG-001,LDG018,Lâm Đồng,MPT,3.0,14707099.391999999,Insecticide
21,2018,Dec,LDG-001,LDG018,Lâm Đồng,MPT,10.0,45276158.72,Insecticide
22,2018,Dec,BTN-002,BTN002,Bình Thuận,MTL,4.0,32928416.256,Fungicide
23,2018,Dec,BTN-002,BTN002,Bình Thuận,PAN,1.0,1691754.88,Herbicide & Molluscicide
24,2019,Feb,BTN-002,BTN002,Bình Thuận,MTL,5.0,41160520.32,Fungicide
25,2019,Feb,BTN-002,BTN002,Bình Thuận,SR,5.0,34463818.24,Fungicide
26,2019,Feb,BTN-002,BTN002,Bình Thuận,JN,3.0,14803889.28,Insecticide
27,2019,Feb,BTN-002,BTN002,Bình Thuận,MPT,9.0,40748542.848,Insecticide
28,2018,Nov,LDG-214,LDG003,Lâm Đồng,RA,0.8333333333333334,7065523.946666668,Fungicide
29,2018,Nov,LDG-214,LDG003,Lâm Đồng,MPT,0.1,343927.7280768,Insecticide
30,2018,Nov,LDG-214,LDG003,Lâm Đồng,MPT,2.0,6878554.561536,Insecticide
31,2018,Nov,LDG-214,LDG003,Lâm Đồng,MTL,1.0,8232104.064,Fungicide
32,2019,Mar,LDG-214,LDG003,Lâm Đồng,MTL,2.0,16464208.128,Fungicide
33,2019,Mar,LDG-214,LDG003,Lâm Đồng,DA,1.0,4402699.008,Insecticide
34,2019,Mar,LDG-214,LDG003,Lâm Đồng,MPT,1.0,4902366.464,Insecticide
35,2019,Mar,LDG-214,LDG003,Lâm Đồng,JD,2.0,4445716.736,Insecticide
36,2019,Mar,LDG-214,LDG003,Lâm Đồng,WR,1.0,4663287.168,Insecticide
37,2019,Mar,TGG-190,TGG001,Tiền Giang,GN,10.0,26182905.6,Bio-organic
38,2019,Mar,TGG-190,TGG001,Tiền Giang,SO,17.0,21910914.304,PHG & Fertilizer
39,2019,Mar,TGG-190,TGG001,Tiền Giang,UQE,6.0,37107753.984,Fungicide
40,2019,Mar,TGG-190,TGG001,Tiền Giang,MTL,30.0,246963121.92,Fungicide
41,2018,Oct,BTN-003,BTN002,Bình Thuận,JD,5.0,11114291.84,Insecticide
42,2018,Oct,BTN-003,BTN002,Bình Thuận,MTL,15.0,123481560.96,Fungicide
43,2018,Oct,BTN-003,BTN002,Bình Thuận,GN,1.0,2734107.52,Bio-organic
44,2018,Oct,BTN-003,BTN002,Bình Thuận,JN,6.0,29607778.56,Insecticide
45,2018,Dec,TGG-001,TGG004,Tiền Giang,MTL,5.0,41160520.32,Fungicide
46,2018,Dec,TGG-001,TGG004,Tiền Giang,PAN,1.0,1610683.008,Herbicide & Molluscicide
47,2018,Dec,TGG-001,TGG004,Tiền Giang,MTL,5.0,41160520.32,Fungicide
48,2018,Dec,TGG-001,TGG004,Tiền Giang,JO,1.0,3318983.168,Fungicide
49,2018,Dec,TGG-001,TGG004,Tiền Giang,PAN,25.0,40267075.2,Herbicide & Molluscicide
50,2018,Dec,TGG-001,TGG004,Tiền Giang,JO,1.0,3318983.168,Fungicide
51,2018,Dec,TGG-001,TGG004,Tiền Giang,MTL,5.0,41160520.32,Fungicide
52,2018,Dec,TGG-001,TGG004,Tiền Giang,JO,1.0,3318983.168,Fungicide
53,2019,Mar,TGG-001,TGG004,Tiền Giang,FL,32.0,133288775.68,Fungicide
54,2018,Dec,LAN-012,LAN006,Long An,MTL,20.0,164642081.28,Fungicide
55,2018,Dec,LAN-012,LAN006,Long An,GO,1.0,1642946.304,Insecticide
56,2018,Dec,KHA-042,NTN002,Khánh Hoà,GO,3.0,4928838.912,Insecticide
57,2018,Dec,KHA-042,NTN002,Khánh Hoà,MPT,5.0,22638079.36,Insecticide
58,2018,Dec,KHA-042,NTN002,Khánh Hoà,JN,2.0,9869259.52,Insecticide
59,2018,Dec,KHA-042,NTN002,Khánh Hoà,MTL,3.0,24696312.192,Fungicide
60,2019,Jan,KHA-042,NTN002,Khánh Hoà,HO,6.0,43148435.712,Fungicide
61,2019,Jan,KHA-042,NTN002,Khánh Hoà,GO,7.0,11500624.128,Insecticide
62,2019,Jan,KHA-042,NTN002,Khánh Hoà,MPT,5.0,22638079.36,Insecticide
63,2019,Jan,KHA-042,NTN002,Khánh Hoà,JN,4.0,19738519.04,Insecticide
64,2018,Dec,BTN-004,BTN008,Bình Thuận,FI,2.0,22691851.52,Herbicide & Molluscicide
65,2018,Dec,BTN-004,BTN008,Bình Thuận,MPO,8.0,47115662.95040001,PCO
66,2019,Jan,BTN-004,BTN008,Bình Thuận,FI,2.0,22691851.52,Herbicide & Molluscicide
67,2019,Jan,BTN-004,BTN008,Bình Thuận,MPO,3.0,17668373.6064,PCO
68,2018,Dec,DTP-230,DTP015,Đồng Tháp,MTL,20.0,164642081.28,Fungicide
69,2018,Dec,DTP-230,DTP015,Đồng Tháp,PAN,1.0,1610683.008,Herbicide & Molluscicide
70,2019,Feb,TGG-006,TGG003,Tiền Giang,MTL,7.0,58707617.024,Fungicide
71,2019,Feb,TGG-006,TGG003,Tiền Giang,PAN,10.0,16106830.08,Herbicide & Molluscicide
72,2019,Feb,TGG-006,TGG003,Tiền Giang,PAN,5.0,8458774.4,Herbicide & Molluscicide
73,2019,Mar,TGG-006,TGG012,Tiền Giang,MTL,5.0,41160520.32,Fungicide
74,2019,Mar,TGG-006,TGG012,Tiền Giang,RA,2.0,13567129.6,Fungicide
75,2019,Apr,TGG-006,TGG012,Tiền Giang,MTL,4.0,32928416.256,Fungicide
76,2019,Apr,TGG-006,TGG012,Tiền Giang,LS,1.0,6556067.2,Fungicide
77,2019,Apr,TGG-006,TGG012,Tiền Giang,WR,1.0,4101574.912,Insecticide
78,2019,Apr,TGG-006,TGG012,Tiền Giang,MPT,1.0,4527615.872,Insecticide
79,2019,Apr,TGG-006,TGG012,Tiền Giang,MTL,5.0,41160520.32,Fungicide
80,2019,Apr,TGG-006,TGG012,Tiền Giang,MPT,5.0,24511832.32,Insecticide
81,2019,Apr,TGG-006,TGG012,Tiền Giang,MPT,5.0,22638079.36,Insecticide
82,2019,Apr,TGG-006,TGG012,Tiền Giang,WR,4.0,16406299.648,Insecticide
83,2019,Apr,TGG-006,TGG012,Tiền Giang,LS,4.0,26224268.8,Fungicide
84,2019,Apr,TGG-006,TGG012,Tiền Giang,RA,3.0,20350694.4,Fungicide
85,2019,Apr,TGG-006,TGG012,Tiền Giang,FY,3.0,28657252.224,Fungicide
86,2019,Feb,DTP-259,DTP015,Đồng Tháp,HO,8.0,57531247.616,Fungicide
87,2019,Feb,DTP-259,DTP015,Đồng Tháp,MTL,5.0,41934012.16,Fungicide
88,2019,Feb,DTP-259,DTP015,Đồng Tháp,MTL,25.0,205802601.6,Fungicide
89,2019,Feb,DTP-259,DTP015,Đồng Tháp,DA,5.0,22013495.04,Insecticide
90,2019,Feb,DTP-259,DTP015,Đồng Tháp,SO,4.0,5155509.248,PHG & Fertilizer
91,2018,Dec,DTP-009,DTP006,Đồng Tháp,MTL,16.0,131713665.024,Fungicide
92,2018,Dec,DTP-009,DTP006,Đồng Tháp,HO,1.0,7191405.952,Fungicide
93,2019,Jan,DTP-009,DTP006,Đồng Tháp,MTL,6.0,49392624.384,Fungicide
94,2018,Dec,DTP-252,DTP015,Đồng Tháp,MTL,19.0,156409977.216,Fungicide
95,2018,Dec,DTP-252,DTP015,Đồng Tháp,GN,1.0,2618290.56,Bio-organic
96,2018,Dec,DTP-252,DTP015,Đồng Tháp,SR,1.0,6857191.296,Fungicide
97,2018,Dec,DTP-011,DTP006,Đồng Tháp,MTL,18.0,148177873.152,Fungicide
98,2018,Dec,DTP-011,DTP006,Đồng Tháp,JD,10.0,22228583.68,Insecticide
99,2019,Mar,LDG-006,LDG003,Lâm Đồng,JN,1.0,4934629.76,Insecticide
100,2019,Mar,LDG-006,LDG003,Lâm Đồng,RA,0.5833333333333334,4945866.762666668,Fungicide
101,2019,Mar,LDG-006,LDG003,Lâm Đồng,DA,1.0,4402699.008,Insecticide
102,2019,Mar,LDG-006,LDG003,Lâm Đồng,MTL,1.0,8620918.144,Fungicide
103,2019,Mar,LDG-006,LDG003,Lâm Đồng,DA,1.0,4402699.008,Insecticide
104,2019,Mar,LDG-006,LDG003,Lâm Đồng,WR,3.0,13989861.504,Insecticide
105,2018,Oct,LDG-006,LDG018,Lâm Đồng,RA,2.0,16957257.472,Fungicide
106,2018,Oct,LDG-006,LDG018,Lâm Đồng,BOI,1.0,1750490.624,PHG & Fertilizer
107,2018,Oct,LDG-006,LDG018,Lâm Đồng,JD,1.0,2222858.368,Insecticide
108,2018,Oct,LDG-006,LDG018,Lâm Đồng,SR,1.0,6892763.648,Fungicide
109,2018,Dec,LDG-006,LDG018,Lâm Đồng,WR,3.0,13989861.504,Insecticide
110,2018,Dec,LDG-006,LDG018,Lâm Đồng,JN,4.0,19738519.04,Insecticide
111,2018,Dec,LDG-006,LDG018,Lâm Đồng,MTL,6.0,49392624.384,Fungicide
112,2018,Dec,LDG-006,LDG018,Lâm Đồng,HO,3.0,21574217.856,Fungicide
113,2018,Dec,LDG-006,LDG018,Lâm Đồng,MPT,6.0,27165695.232,Insecticide
114,2018,Dec,LDG-006,LDG018,Lâm Đồng,PAN,5.0,8053415.04,Herbicide & Molluscicide
115,2018,Dec,LDG-006,LDG018,Lâm Đồng,RA,2.0,16957257.472,Fungicide
116,2018,Dec,GLI-005,GLI002,Gia Lai,HO,5.0,35957029.76,Fungicide
117,2018,Dec,GLI-005,GLI002,Gia Lai,MTL,5.0,41160520.32,Fungicide
118,2018,Dec,GLI-005,GLI002,Gia Lai,EL,4.0,30476405.76,Herbicide & Molluscicide
119,2018,Dec,GLI-005,GLI002,Gia Lai,JN,1.0,4934629.76,Insecticide
120,2019,Feb,GLI-005,GLI002,Gia Lai,FI,8.0,90767406.08,Herbicide & Molluscicide
121,2019,Feb,GLI-005,GLI002,Gia Lai,EL,9.0,68571912.96,Herbicide & Molluscicide
122,2019,Feb,GLI-005,GLI002,Gia Lai,MPT,15.0,70420848.0,Insecticide
123,2019,Feb,GLI-005,GLI002,Gia Lai,SO,10.0,12053236.48,PHG & Fertilizer
124,2019,Feb,GLI-005,GLI002,Gia Lai,SO,15.0,19333159.68,PHG & Fertilizer
125,2019,Feb,GLI-005,GLI002,Gia Lai,SO,10.0,21062141.44,PHG & Fertilizer
126,2019,Feb,GLI-005,GLI002,Gia Lai,HO,10.0,71914059.52,Fungicide
127,2019,Feb,GLI-005,GLI002,Gia Lai,MTL,4.0,32928416.256,Fungicide
128,2019,Feb,GLI-005,GLI002,Gia Lai,GN,2.0,3034404.352,Bio-organic
129,2019,Feb,GLI-005,GLI002,Gia Lai,GN,3.0,8202322.56,Bio-organic
130,2019,Feb,GLI-005,GLI002,Gia Lai,EL,2.0,15238202.88,Herbicide & Molluscicide
131,2019,Feb,GLI-005,GLI002,Gia Lai,MTL,2.0,17068110.848,Fungicide
132,2019,Mar,GLI-005,GLI002,Gia Lai,GN,10.0,27341075.2,Bio-organic
133,2019,Mar,GLI-005,GLI002,Gia Lai,EL,5.0,38095507.2,Herbicide & Molluscicide
134,2019,Mar,GLI-005,GLI002,Gia Lai,MTL,5.0,41160520.32,Fungicide
135,2019,Mar,GLI-005,GLI002,Gia Lai,AN,5.0,23316435.84,Insecticide
136,2019,Mar,GLI-005,GLI002,Gia Lai,GN,3.0,8202322.56,Bio-organic
137,2019,Mar,GLI-005,GLI002,Gia Lai,EL,2.0,15238202.88,Herbicide & Molluscicide
138,2019,Mar,GLI-005,GLI002,Gia Lai,MTL,4.0,32928416.256,Fungicide
139,2019,Mar,GLI-005,GLI002,Gia Lai,GN,2.0,3034404.352,Bio-organic
140,2019,Mar,GLI-005,GLI002,Gia Lai,EL,4.0,30476405.76,Herbicide & Molluscicide
141,2019,Mar,GLI-005,GLI002,Gia Lai,JN,1.0,4934629.76,Insecticide
142,2018,Dec,GLI-006,GLI002,Gia Lai,MPT,3.0,14707099.391999999,Insecticide
143,2018,Dec,GLI-006,GLI002,Gia Lai,MPT,2.0,9055231.744,Insecticide
144,2019,Feb,GLI-006,GLI002,Gia Lai,MTL,4.0,32928416.256,Fungicide
145,2019,Feb,GLI-006,GLI002,Gia Lai,FI,1.0,11345925.76,Herbicide & Molluscicide
146,2019,Feb,GLI-006,GLI002,Gia Lai,EL,5.0,38095507.2,Herbicide & Molluscicide
147,2019,Feb,GLI-006,GLI002,Gia Lai,MPT,6.0,29414198.783999998,Insecticide
148,2019,Feb,GLI-006,GLI002,Gia Lai,TN,2.0,28749078.528,Herbicide & Molluscicide
149,2019,Feb,GLI-006,GLI002,Gia Lai,EL,1.0,7619101.44,Herbicide & Molluscicide
150,2019,Feb,GLI-006,GLI002,Gia Lai,HO,5.0,35957029.76,Fungicide
151,2019,Feb,GLI-006,GLI002,Gia Lai,FI,1.0,11345925.76,Herbicide & Molluscicide
152,2019,Feb,GLI-006,GLI002,Gia Lai,HO,1.0,7191405.952,Fungicide
153,2019,Feb,GLI-006,GLI002,Gia Lai,MTL,2.0,17068110.848,Fungicide
154,2019,Feb,GLI-006,GLI002,Gia Lai,GN,8.0,21872860.16,Bio-organic
155,2019,Mar,GLI-006,GLI002,Gia Lai,MTL,4.0,32928416.256,Fungicide
156,2019,Mar,GLI-006,GLI002,Gia Lai,FI,1.0,11345925.76,Herbicide & Molluscicide
157,2019,Mar,GLI-006,GLI002,Gia Lai,EL,5.0,38095507.2,Herbicide & Molluscicide
158,2019,Mar,GLI-006,GLI002,Gia Lai,MPT,6.0,29414198.783999998,Insecticide
159,2019,Mar,GLI-006,GLI002,Gia Lai,MTL,4.0,32928416.256,Fungicide
160,2019,Mar,GLI-006,GLI002,Gia Lai,FI,2.0,22691851.52,Herbicide & Molluscicide
161,2019,Mar,GLI-006,GLI002,Gia Lai,EL,5.0,38095507.2,Herbicide & Molluscicide
162,2019,Mar,GLI-006,GLI002,Gia Lai,MPT,6.0,29414198.783999998,Insecticide
163,2019,Mar,GLI-006,GLI002,Gia Lai,MTL,4.0,32928416.256,Fungicide
164,2019,Mar,GLI-006,GLI002,Gia Lai,FI,1.0,11345925.76,Herbicide & Molluscicide
165,2019,Mar,GLI-006,GLI002,Gia Lai,EL,5.0,38095507.2,Herbicide & Molluscicide
166,2019,Mar,GLI-006,GLI002,Gia Lai,MPT,6.0,29414198.783999998,Insecticide
167,2019,Mar,GLI-006,GLI002,Gia Lai,TN,2.0,28749078.528,Herbicide & Molluscicide
168,2019,Mar,GLI-006,GLI002,Gia Lai,EL,1.0,7619101.44,Herbicide & Molluscicide
169,2019,Mar,GLI-006,GLI002,Gia Lai,HO,5.0,35957029.76,Fungicide
170,2019,Mar,GLI-006,GLI002,Gia Lai,GN,8.0,21872860.16,Bio-organic
171,2019,Mar,GLI-006,GLI002,Gia Lai,MPT,3.0,14707099.391999999,Insecticide
172,2019,Mar,GLI-006,GLI002,Gia Lai,MPT,2.0,9055231.744,Insecticide
173,2019,Mar,GLI-006,GLI002,Gia Lai,RA,5.0,33917824.0,Fungicide
174,2019,Mar,GLI-006,GLI002,Gia Lai,JD,12.0,26674300.416,Insecticide
175,2019,Mar,GLI-006,GLI002,Gia Lai,MTL,4.0,33547209.728,Fungicide
176,2018,Oct,LDG-242,LDG018,Lâm Đồng,MPT,2.0,9055231.744,Insecticide
177,2018,Oct,LDG-242,LDG018,Lâm Đồng,MPT,1.0,4902366.464,Insecticide
178,2018,Oct,LDG-242,LDG018,Lâm Đồng,MTL,1.0,8232104.064,Fungicide
179,2018,Oct,LDG-242,LDG018,Lâm Đồng,PAN,1.0,1610683.008,Herbicide & Molluscicide
180,2019,Feb,LDG-242,LDG018,Lâm Đồng,MPT,3.0,13582847.616,Insecticide
181,2019,Feb,LDG-242,LDG018,Lâm Đồng,MPT,1.0,4902366.464,Insecticide
182,2019,Feb,LDG-242,LDG018,Lâm Đồng,WR,1.0,4663287.168,Insecticide
183,2019,Feb,LDG-242,LDG018,Lâm Đồng,MTL,1.0,8232104.064,Fungicide
184,2019,Feb,LDG-242,LDG018,Lâm Đồng,JN,1.0,4934629.76,Insecticide
185,2019,Mar,LDG-242,LDG018,Lâm Đồng,MPT,1.0,4527615.872,Insecticide
186,2019,Mar,LDG-242,LDG018,Lâm Đồng,MPT,1.0,4902366.464,Insecticide
187,2019,Mar,LDG-242,LDG018,Lâm Đồng,MTL,1.0,8232104.064,Fungicide
188,2019,Mar,LDG-242,LDG018,Lâm Đồng,PAN,1.0,1610683.008,Herbicide & Molluscicide
189,2019,Mar,LDG-242,LDG018,Lâm Đồng,JN,1.0,4934629.76,Insecticide
190,2018,Dec,TGG-182,TGG013,Tiền Giang,MTL,10.0,82321040.64,Fungicide
191,2018,Dec,TGG-182,TGG013,Tiền Giang,JO,1.0,3318983.168,Fungicide
192,2018,Dec,TGG-182,TGG013,Tiền Giang,MTL,17.0,139945769.088,Fungicide
193,2018,Dec,TGG-182,TGG013,Tiền Giang,JN,1.0,4934629.76,Insecticide
194,2018,Dec,TGG-182,TGG013,Tiền Giang,MTL,18.0,148177873.152,Fungicide
